time,sp1,sp2,sp3,sp4
0.0,0.018485565383026516,0.018287306016974682,0.02245323948428595,0.019054710516237406
0.0001,0.016342255827692106,0.017903125337728632,0.01822592273823657,0.0219578957843952
0.0002,0.020460561972922498,0.02091662702476951,0.020288192601400693,0.020460216511430155
0.00030000000000000003,0.017176421166463462,0.018171878746620223,0.01663041925856384,0.018064553431655174
0.0004,0.019948288826618296,0.018871670954287482,0.021281389590978313,0.016205653642514653
0.0005,0.019655678781980917,0.016187013987718046,0.01894279692850181,0.02001924523842256
0.0006000000000000001,0.01833172262255683,0.019897429389257933,0.016961517924357357,0.015291302003675625
0.0007,0.020001533364666185,0.02241599476816248,0.017036708015895616,0.021164074424573083
0.0008,0.019116830961365183,0.016405159334354023,0.0169293701353845,0.01886776091134268
0.0009000000000000001,0.018375826414317956,0.016611534800309146,0.01598009916157228,0.017271302879846493
0.001,0.019737002534797068,0.019395226056300976,0.01855127978473109,0.01950676712099328
0.0011,0.02160223036823982,0.020375076891935427,0.01950474835317726,0.02110542531816692
0.0012000000000000001,0.01778215756107183,0.01932262958513909,0.019545521010210374,0.016928474138155222
0.0013000000000000002,0.019047703510472785,0.0158140553856872,0.023978088672149935,0.0176865301460539
0.0014,0.023250412138174956,0.020236726243646922,0.02149438658439816,0.01874788277353775
0.0015,0.02068928275676768,0.0216625535607819,0.021908907352814994,0.021443715399762843
0.0016,0.01973597724876439,0.019605767832176664,0.01761024390341537,0.021113373085088077
0.0017000000000000001,0.022840147102764774,0.024006796000464778,0.021630892401463483,0.01871041783879147
0.0018000000000000002,0.01748707592845369,0.02306953662807624,0.01765266370971622,0.019741940641811256
0.0019,0.02064131002541562,0.0210613224805265,0.021543815329753378,0.020882240897316127
0.002,0.016470306006723022,0.021445898298807033,0.017242011976998907,0.022255933649417647
0.0021000000000000003,0.02040404405228675,0.01732087917614513,0.02030332688677545,0.019839407081670823
0.0022,0.02411082520959643,0.022248312387354936,0.02285249867767164,0.023532342110744925
0.0023,0.021753868277303558,0.02358493399730477,0.023764197366129242,0.01878936772324908
0.0024000000000000002,0.025110192967686542,0.019458641203052584,0.024464775377896316,0.018522431138750406
0.0025,0.023585852080803372,0.026246662918262303,0.022438069812792834,0.021239801799195025
0.0026000000000000003,0.023824245666787935,0.02208827258860815,0.026734714996488086,0.02233430606829157
