Iteration,Loss_M1,Loss_M2,Loss_M3
0,558.3684534866067,556.046397694445,552.1673183709677
1,533.9501890448895,536.6994684500706,538.4127240386043
2,528.2203537766541,521.1922804536316,513.0019942461302
3,506.52422515381704,503.78028047489767,501.1634133216365
4,494.61104757621825,498.8660123665256,498.45956913355013
5,479.5308886613924,488.01449343336594,479.3980825945994
6,464.2172409235341,473.19240465268047,464.7560760707554
7,453.08304910032325,461.6462816982717,453.11582622641464
8,449.2571540427208,440.56806582304716,441.0430704989952
9,419.0793734350745,428.1493478615673,433.43988225605875
10,413.09352773537483,418.5066315919031,413.7482754894952
11,404.6382967401041,408.4585214967759,408.38954401937843
12,392.1802402372593,404.72706310006566,398.8025528466914
13,394.7473617629548,393.0268974082195,389.1788032937049
14,383.4210113510636,379.8249733980701,378.24694644284904
15,370.32836851711403,360.2122756409065,369.9477406217111
16,354.7062253055766,349.45513641997985,355.0317648876727
17,355.3802948755358,349.9073492655736,343.9960218799403
18,331.84848976242705,344.19045542040834,352.07416160865733
19,341.8492825372335,330.74153409156315,329.63304591362265
20,319.324632924234,332.32230443501373,321.8255095568489
21,313.29649464081797,309.194465531123,317.9958712386146
22,304.56184026382243,300.666799768818,314.68900597726724
23,293.68065795603707,295.7247901541588,296.32355444185697
24,301.23810621459734,288.1010545289565,286.6184642539651
25,288.3452427240401,287.0321989135275,278.19000281615956
26,283.4816117764959,275.2956998068795,285.3697901736116
27,264.4982375196881,262.87738157359865,265.42604894768675
28,264.936199726608,268.48940287506355,263.8937309090101
29,260.2481352855472,248.84323220852957,252.75656767867537
30,252.79894338231568,246.08906964951294,244.20338117477496
31,239.63045837281356,237.31879277443423,243.97044886268515
32,244.97646468473584,240.63457096443702,234.91003124737685
33,234.54747099964695,234.86995914647724,230.48157845860462
34,223.67457633756038,238.03166812085715,238.4799220028624
35,213.84669766577235,227.69208364426342,225.2474308843977
36,220.98882318703062,225.1637215362922,222.61283821735117
37,225.19455044934944,214.38532003518438,217.06556959293817
38,203.00241861511154,203.19403087639014,207.57438536644784
39,204.2125140403432,204.00081679824586,201.16168699139027
40,204.33519146924056,201.7448101107192,200.02737813308826
41,187.99350372087596,197.86080196264035,195.18401890104496
42,187.6335965653993,187.67131969028273,187.18935332499788
43,181.55280067697655,188.29752694219553,186.50283372561785
44,186.7219525319861,177.13342920365702,178.26692052438187
45,184.4921928033206,172.6481919859967,177.0072903033461
46,174.84319583804395,168.46909095745784,172.3715971417986
47,166.13669746674177,170.46849775449624,164.00100484868338
48,164.53928485581744,160.86405777007516,154.99744847989584
49,160.1158383352439,161.14460895712264,158.57301465677918
50,155.00109724201175,164.4020243071966,168.9079648730583
51,156.09727565313875,151.46181826683954,155.05905774704743
52,156.29952650511038,150.90383391527948,157.3052348872831
53,152.7895888119886,150.69645797372684,139.71607587437921
54,147.30219234290752,148.5777886734164,142.30192382593344
55,144.72307060290774,141.9413484647531,137.66535333196916
56,141.21122107678516,145.55327539590982,140.60747500179846
57,132.39822871823756,141.83654791799256,150.99406381674515
58,137.03189860452528,141.93050714141944,138.5324188357505
59,130.73922381796842,133.24934212350638,142.1354144116321
60,124.42358949512689,128.59621154364237,129.88812195249577
61,130.5913203450909,125.32463239945237,135.56213937878834
62,123.32893761876458,127.92272539050411,136.75387133427176
63,125.24630277505426,122.22175425470373,123.5606878367078
64,126.13372381426761,119.04968585051652,119.19921118278366
65,114.99836753031086,117.5081248148104,113.16050645108625
66,118.12824802867121,114.2491891926851,116.1223403254215
67,106.59574985895277,116.64296983141824,116.05734764360854
68,121.35103968673523,106.62545832096855,123.8431423204346
69,104.99203954636305,113.30245349318176,105.31250216032652
70,107.3690135731636,113.32585568716523,110.24142135363536
71,114.84579965045386,105.24950444074759,99.08235952468598
72,105.24547902812353,116.02827835656119,104.28427951433561
73,98.74710996701717,104.82220495340293,106.29107518557876
74,106.66573402623487,95.29365294930275,105.66328362824498
75,104.968064041638,100.10918719919873,104.46051712909168
76,96.81181275592508,100.29102517743023,101.96476461718547
77,95.86135132830053,100.7308217100536,101.38809363268373
78,94.86170536694648,95.75159759948268,97.26744586505023
79,94.59959445454886,90.57686287945707,90.39538272803416
80,84.80773127353535,88.79768356758298,85.0143018397441
81,92.04399721334765,89.6831200930298,90.21767741025207
82,100.58866126721276,88.8802134637032,90.99601311098087
83,85.94548075303666,84.7504597647239,96.69498957509758
84,86.30122729121652,85.55462945304684,88.7156868827844
85,82.1299878621351,91.34536880031385,87.0652310070336
86,89.97320794894097,95.15446135543664,88.8400339511731
87,91.82660552296366,89.5879273016066,84.46055879499578
88,90.64331480728889,91.27103104233483,88.79443560613547
89,77.46468439844787,88.57532968408466,93.60140543483557
90,85.19766026741489,86.86435325692182,93.65262918598359
91,88.89144471172303,80.0337132253652,82.2078976768743
92,83.32413534847288,81.480374201857,82.4602816333995
93,82.24925628281152,77.75411115381253,87.75148846796006
94,76.60780221429684,77.8704792958045,78.21620499299128
95,79.20197223158219,78.4422586145468,81.49738382223477
96,83.4442287872496,80.83046864661272,71.58683724028845
97,78.0899339846199,78.56550605005171,74.8946934011011
98,69.41805579253001,74.85028325760686,81.44000265590518
99,72.61332581250213,75.1712278883903,71.30255601499385
